city,city_code,town,town_code,unit,vote_class,electors,turnout,source_file
전라남도,4600,여수시,4602,화양면,관내사전투표,1556,1555,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,남면,관내사전투표,480,480,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,화정면,관내사전투표,149,149,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,삼산면,관내사전투표,351,351,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,동문동,관내사전투표,963,963,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,한려동,관내사전투표,825,825,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,중앙동,관내사전투표,833,833,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,충무동,관내사전투표,618,618,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,광림동,관내사전투표,946,946,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,서강동,관내사전투표,730,730,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,대교동,관내사전투표,1064,1063,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,국동,관내사전투표,2371,2370,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,월호동,관내사전투표,1526,1526,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,여서동,관내사전투표,2421,2421,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,문수동,관내사전투표,2941,2941,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,미평동,관내사전투표,2567,2567,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,둔덕동,관내사전투표,1817,1817,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,만덕동,관내사전투표,1750,1749,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,쌍봉동,관내사전투표,4180,4179,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,시전동,관내사전투표,4669,4667,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,여천동,관내사전투표,2811,2810,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,주삼동,관내사전투표,1034,1034,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,삼일동,관내사전투표,587,587,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,묘도동,관내사전투표,314,314,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,순천시,4604,승주읍,관내사전투표,729,728,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,주암면,관내사전투표,763,762,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,송광면,관내사전투표,410,410,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,외서면,관내사전투표,306,306,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,낙안면,관내사전투표,999,999,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,별량면,관내사전투표,1445,1445,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,상사면,관내사전투표,720,720,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,해룡면,관내사전투표,6826,6825,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,서면,관내사전투표,2210,2210,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,황전면,관내사전투표,1076,1076,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,월등면,관내사전투표,477,477,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,향동,관내사전투표,1115,1115,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,매곡동,관내사전투표,1706,1706,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,삼산동,관내사전투표,5162,5158,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,조곡동,관내사전투표,1325,1325,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,덕연동,관내사전투표,5296,5294,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,풍덕동,관내사전투표,1852,1852,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,남제동,관내사전투표,1600,1599,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,저전동,관내사전투표,892,892,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,장천동,관내사전투표,453,453,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,중앙동,관내사전투표,963,963,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,도사동,관내사전투표,3413,3411,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,왕조1동,관내사전투표,6508,6505,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,순천시,4604,왕조2동,관내사전투표,4043,4041,data/nec_2026_official_html/4600_4604_순천시.html
전라남도,4600,나주시,4606,남평읍,관내사전투표,3010,3009,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,세지면,관내사전투표,875,875,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,왕곡면,관내사전투표,768,767,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,반남면,관내사전투표,433,433,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,공산면,관내사전투표,727,727,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,동강면,관내사전투표,712,712,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,다시면,관내사전투표,1423,1423,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,문평면,관내사전투표,549,549,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,노안면,관내사전투표,1082,1082,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,금천면,관내사전투표,1526,1525,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,산포면,관내사전투표,886,886,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,다도면,관내사전투표,659,659,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,봉황면,관내사전투표,974,974,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,송월동,관내사전투표,1903,1903,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,영강동,관내사전투표,718,718,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,금남동,관내사전투표,1013,1013,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,성북동,관내사전투표,2260,2259,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,영산동,관내사전투표,768,768,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,이창동,관내사전투표,875,874,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,나주시,4606,빛가람동,관내사전투표,5678,5678,data/nec_2026_official_html/4600_4606_나주시.html
전라남도,4600,광양시,4607,광양읍,관내사전투표,8353,8352,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,봉강면,관내사전투표,538,538,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,옥룡면,관내사전투표,1041,1038,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,옥곡면,관내사전투표,1094,1094,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,진상면,관내사전투표,835,834,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,진월면,관내사전투표,668,668,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,다압면,관내사전투표,515,515,data/nec_2026_official_html/4600_4607_광양시.html
