signature_type,election,category,contest,vote_class,signature,unit,candidate_names
top2_candidates,2014-local,교육감,전라북도|전라북도,관내사전투표,21|25,산내면|관내사전투표,유홍렬|이미영
top2_candidates,2014-local,교육감,전라북도|전라북도,관내사전투표,21|25,주생면|관내사전투표,유홍렬|이미영
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,27|174,이백면|관내사전투표,박철곤|송하진
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,27|174,이평면|관내사전투표,박철곤|송하진
top2_candidates,2014-local,교육감,전라북도|전라북도,관내사전투표,33|44,농소동|관내사전투표,유홍렬|이미영
top2_candidates,2014-local,교육감,전라북도|전라북도,관내사전투표,33|44,산서면|관내사전투표,유홍렬|이미영
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,41|145,보안면|관내사전투표,박철곤|송하진
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,41|145,웅포면|관내사전투표,박철곤|송하진
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,50|174,서수면|관내사전투표,박철곤|송하진
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,50|174,중앙동|관내사전투표,박철곤|송하진
top2_candidates,2014-local,교육감,전라북도|전라북도,관내사전투표,72|80,성산면|관내사전투표,유홍렬|이미영
top2_candidates,2014-local,교육감,전라북도|전라북도,관내사전투표,72|80,줄포면|관내사전투표,유홍렬|이미영
top2_candidates,2014-local,광역의원비례대표,충청남도|충청남도,관내사전투표,139|85,성동면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,충청남도|충청남도,관내사전투표,139|85,우성면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,교육감,충청남도|충청남도,관내사전투표,29|52,장평면|관내사전투표,명노희|김지철
top2_candidates,2014-local,교육감,충청남도|충청남도,관내사전투표,29|52,주포면|관내사전투표,명노희|김지철
top2_candidates,2014-local,시·도지사,충청남도|충청남도,관내사전투표,61|54,문산면|관내사전투표,정진석|안희정
top2_candidates,2014-local,시·도지사,충청남도|충청남도,관내사전투표,61|54,시초면|관내사전투표,정진석|안희정
top2_candidates,2014-local,광역의원비례대표,충청북도|충청북도,관내사전투표,114|70,문광면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,충청북도|충청북도,관내사전투표,114|70,양산면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2016-assembly,국회의원,경상북도|상주시군위군의성군청송군,관내사전투표,231|66,비안면|관내사전투표,김종태|김영태
top2_candidates,2016-assembly,국회의원,경상북도|상주시군위군의성군청송군,관내사전투표,231|66,화서면|관내사전투표,김종태|김영태
top2_candidates,2016-assembly,국회의원,광주광역시|동구남구을,관내사전투표,14|212,지산1동|관내사전투표,문충식|이병훈
top2_candidates,2016-assembly,국회의원,광주광역시|동구남구을,관내사전투표,14|212,충장동|관내사전투표,문충식|이병훈
top2_candidates,2016-assembly,국회의원,전라북도|남원시임실군순창군,관내사전투표,13|55,금과면|관내사전투표,김용호|박희승
top2_candidates,2016-assembly,국회의원,전라북도|남원시임실군순창군,관내사전투표,13|55,신덕면|관내사전투표,김용호|박희승
top2_candidates,2016-assembly,국회의원,충청북도|보은군옥천군영동군괴산군,관내사전투표,167|123,군북면|관내사전투표,박덕흠|이재한
top2_candidates,2016-assembly,국회의원,충청북도|보은군옥천군영동군괴산군,관내사전투표,167|123,청안면|관내사전투표,박덕흠|이재한
top2_candidates,2017-presidential,대통령,전국,관내사전투표,147|112,강원도|강릉시|경포동|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,147|112,충청북도|영동군|양산면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,148|98,충청남도|논산시|노성면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,148|98,충청남도|서천군|화양면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,174|9,전라남도|담양군|대덕면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,174|9,전라남도|무안군|망운면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,177|5,전라남도|구례군|문척면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,177|5,전라북도|정읍시|덕천면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,181|9,전라북도|남원시|사매면|관내사전투표,문재인|홍준표
